exp,subjects,id,prem1,prem2,prem3,concl,consistent,figure,det,porder,memory,dc_read,rtp1,rtp2,rtp3,rtc,correct1,answer,valid,indet,move,write,group,dir_c,total,link
comparison1-prem3,36,1,A left B,B left C,,A left C,1,1,1,1,0,0,5103,5299,,5427,91,1,1,0,4,3,0,1,8,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=left&p1t2=B&p2t1=B&p2rel=left&p2t2=C&ct1=A&crel=left&ct2=C
comparison1-prem3,36,2,A left B,C right B,,A left C,1,2,1,1,0,1,5832,3686,,5298,80,1,1,0,4,3,0,1,8,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=left&p1t2=B&p2t1=C&p2rel=right&p2t2=B&ct1=A&crel=left&ct2=C
comparison1-prem3,36,3,A right B,A left C,,B left C,1,3,1,1,0,1,5645,7148,,5976,83,1,1,0,5,3,0,2,10,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=right&p1t2=B&p2t1=A&p2rel=left&p2t2=C&ct1=B&crel=left&ct2=C
comparison1-prem3,36,4,A right B,C right A,,B left C,1,4,1,1,0,0,5808,6146,,4769,86,1,1,0,5,3,0,2,10,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=right&p1t2=B&p2t1=C&p2rel=right&p2t2=A&ct1=B&crel=left&ct2=C
comparison1-prem3,36,5,A left B,B left C,,C right A,1,1,1,1,0,0,5786,7486,,6170,86,1,1,0,4,3,0,1,8,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=left&p1t2=B&p2t1=B&p2rel=left&p2t2=C&ct1=C&crel=right&ct2=A
comparison1-prem3,36,6,A left B,C right B,,C right A,1,2,1,1,0,1,6406,4085,,6166,80,1,1,0,4,3,0,1,8,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=left&p1t2=B&p2t1=C&p2rel=right&p2t2=B&ct1=C&crel=right&ct2=A
comparison1-prem3,36,7,A right B,A left C,,C right B,1,3,1,1,0,1,8948,6099,,6378,83,1,1,0,5,3,0,2,10,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=right&p1t2=B&p2t1=A&p2rel=left&p2t2=C&ct1=C&crel=right&ct2=B
comparison1-prem3,36,8,A right B,C right A,,C right B,1,4,1,1,0,0,9283,5113,,6162,88,1,1,0,5,3,0,2,10,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=right&p1t2=B&p2t1=C&p2rel=right&p2t2=A&ct1=C&crel=right&ct2=B
comparison1-prem3,36,9,A left B,B left C,,C left A,0,1,1,1,0,0,7442,5459,,6811,88,0,0,0,4,3,0,1,8,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=left&p1t2=B&p2t1=B&p2rel=left&p2t2=C&ct1=C&crel=left&ct2=A
comparison1-prem3,36,10,A left B,C right B,,C left A,0,2,1,1,0,1,12102,5040,,6987,86,0,0,0,4,3,0,1,8,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=left&p1t2=B&p2t1=C&p2rel=right&p2t2=B&ct1=C&crel=left&ct2=A
comparison1-prem3,36,11,A right B,A left C,,C left B,0,3,1,1,0,1,5145,5182,,6696,75,0,0,0,5,3,0,2,10,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=right&p1t2=B&p2t1=A&p2rel=left&p2t2=C&ct1=C&crel=left&ct2=B
comparison1-prem3,36,12,A right B,C right A,,C left B,0,4,1,1,0,0,7067,6195,,7359,75,0,0,0,5,3,0,2,10,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=right&p1t2=B&p2t1=C&p2rel=right&p2t2=A&ct1=C&crel=left&ct2=B
comparison1-prem3,36,13,A left B,B left C,,A right C,0,1,1,1,0,0,8618,5639,,5986,80,0,0,0,4,3,0,1,8,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=left&p1t2=B&p2t1=B&p2rel=left&p2t2=C&ct1=A&crel=right&ct2=C
comparison1-prem3,36,14,A left B,C right B,,A right C,0,2,1,1,0,1,4954,4504,,6159,83,0,0,0,4,3,0,1,8,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=left&p1t2=B&p2t1=C&p2rel=right&p2t2=B&ct1=A&crel=right&ct2=C
comparison1-prem3,36,15,A right B,A left C,,B right C,0,3,1,1,0,1,7602,5637,,5990,72,0,0,0,5,3,0,2,10,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=right&p1t2=B&p2t1=A&p2rel=left&p2t2=C&ct1=B&crel=right&ct2=C
comparison1-prem3,36,16,A right B,C right A,,B right C,0,4,1,1,0,0,6297,5697,,5422,91,0,0,0,5,3,0,2,10,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=right&p1t2=B&p2t1=C&p2rel=right&p2t2=A&ct1=B&crel=right&ct2=C
comparison2,43,134,A left B,C left D,B left C,B right D,0,1,1,5,0,0,10552,7123,9038,8869,83,0,0,0,8,6,2,2,20,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=left&p1t2=B&p2t1=C&p2rel=left&p2t2=D&p3t1=B&p3rel=left&p3t2=C&ct1=B&crel=right&ct2=D
comparison2,43,130,A right B,C right A,B right D,D right A,0,4,1,4,0,0,10985,6579,8092,6398,86,0,0,0,8,4,0,3,15,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=right&p1t2=B&p2t1=C&p2rel=right&p2t2=A&p3t1=B&p3rel=right&p3t2=D&ct1=D&crel=right&ct2=A
comparison2,43,62,A left B,C left D,B left C,D right B,1,1,1,5,0,0,7962,5973,10422,8581,67,1,1,0,6,6,2,2,18,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=left&p1t2=B&p2t1=C&p2rel=left&p2t2=D&p3t1=B&p3rel=left&p3t2=C&ct1=D&crel=right&ct2=B
comparison2,43,63,A left B,C left A,B left D,D right A,1,1,1,3,0,0,10472,6200,8128,6795,74,1,1,0,8,4,0,3,15,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=left&p1t2=B&p2t1=C&p2rel=left&p2t2=A&p3t1=B&p3rel=left&p3t2=D&ct1=D&crel=right&ct2=A
comparison2,43,64,A left B,B left C,D left A,C right A,1,1,1,4,0,0,11446,6014,6658,7663,69,1,1,0,8,4,0,2,14,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=left&p1t2=B&p2t1=B&p2rel=left&p2t2=C&p3t1=D&p3rel=left&p3t2=A&ct1=C&crel=right&ct2=A
comparison2,43,53,A left B,C left D,D left A,A right C,1,1,1,6,0,0,9160,6286,10281,8387,67,1,1,0,7,6,2,2,19,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=left&p1t2=B&p2t1=C&p2rel=left&p2t2=D&p3t1=D&p3rel=left&p3t2=A&ct1=A&crel=right&ct2=C
comparison2,43,135,A left B,C left A,B left D,A right D,0,1,1,3,0,0,10533,6181,7953,6554,86,0,0,0,8,4,0,3,15,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=left&p1t2=B&p2t1=C&p2rel=left&p2t2=A&p3t1=B&p3rel=left&p3t2=D&ct1=A&crel=right&ct2=D
comparison2,43,129,A right B,B right C,D right A,C right A,0,4,1,3,0,0,10998,8259,7259,6802,88,0,0,0,10,4,0,4,18,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=right&p1t2=B&p2t1=B&p2rel=right&p2t2=C&p3t1=D&p3rel=right&p3t2=A&ct1=C&crel=right&ct2=A
comparison2,43,68,A right B,C right D,D right A,C right A,1,4,1,5,0,0,9884,7186,9310,7224,79,1,1,0,7,6,2,3,20,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=right&p1t2=B&p2t1=C&p2rel=right&p2t2=D&p3t1=D&p3rel=right&p3t2=A&ct1=C&crel=right&ct2=A
comparison2,43,69,A right B,B right C,D right A,D right B,1,4,1,3,0,0,11268,7606,7257,5567,81,1,1,0,7,4,0,2,13,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=right&p1t2=B&p2t1=B&p2rel=right&p2t2=C&p3t1=D&p3rel=right&p3t2=A&ct1=D&crel=right&ct2=B
comparison2,43,52,A left B,B left C,D left A,B right D,1,1,1,4,0,0,11688,5181,7453,8291,72,1,1,0,7,4,0,2,13,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=left&p1t2=B&p2t1=B&p2rel=left&p2t2=C&p3t1=D&p3rel=left&p3t2=A&ct1=B&crel=right&ct2=D
comparison2,43,86,A left B,C left D,B left C,C left A,0,1,1,5,0,0,8268,7504,10036,7896,76,0,0,0,7,6,2,2,19,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=left&p1t2=B&p2t1=C&p2rel=left&p2t2=D&p3t1=B&p3rel=left&p3t2=C&ct1=C&crel=left&ct2=A
comparison2,43,87,A left B,C left A,B left D,B left C,0,1,1,3,0,0,9379,5743,7035,7905,88,0,0,0,11,4,0,4,19,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=left&p1t2=B&p2t1=C&p2rel=left&p2t2=A&p3t1=B&p3rel=left&p3t2=D&ct1=B&crel=left&ct2=C
comparison2,43,26,A left B,C left D,B left C,B left D,1,1,1,5,0,0,8145,7213,9643,5952,79,1,1,0,6,6,2,2,18,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=left&p1t2=B&p2t1=C&p2rel=left&p2t2=D&p3t1=B&p3rel=left&p3t2=C&ct1=B&crel=left&ct2=D
comparison2,43,27,A left B,C left A,B left D,A left D,1,1,1,3,0,0,8962,6463,7653,8013,74,1,1,0,8,4,0,3,15,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=left&p1t2=B&p2t1=C&p2rel=left&p2t2=A&p3t1=B&p3rel=left&p3t2=D&ct1=A&crel=left&ct2=D
